gname,0,1
African National Congress (South Africa),56,551
Al-Qaida in Iraq,14,622
Al-Qaida in the Arabian Peninsula (AQAP),113,862
Al-Shabaab,211,2472
Basque Fatherland and Freedom (ETA),303,1721
Boko Haram,134,1943
Communist Party of India - Maoist (CPI-Maoist),94,1672
Corsican National Liberation Front (FLNC),22,617
Donetsk People's Republic,44,570
Farabundo Marti National Liberation Front (FMLN),34,3317
Houthi extremists (Ansar Allah),128,765
Irish Republican Army (IRA),389,2280
Islamic State of Iraq and the Levant (ISIL),526,3761
Kurdistan Workers' Party (PKK),109,2043
Liberation Tigers of Tamil Eelam (LTTE),76,1530
M-19 (Movement of April 19),26,529
Manuel Rodriguez Patriotic Front (FPMR),46,784
Maoists,281,1143
Muslim extremists,53,508
National Liberation Army of Colombia (ELN),88,1395
New People's Army (NPA),237,2177
Nicaraguan Democratic Force (FDN),9,886
Palestinians,222,902
Revolutionary Armed Forces of Colombia (FARC),185,2296
Separatists,29,542
Shining Path (SL),216,4335
Sikh Extremists,43,671
Taliban,623,5952
Tehrik-i-Taliban Pakistan (TTP),70,1182
Tupac Amaru Revolutionary Movement (MRTA),21,536
