gname,0,1
African National Congress (South Africa),606,1
Al-Qaida in Iraq,508,128
Al-Qaida in the Arabian Peninsula (AQAP),851,124
Al-Shabaab,2546,137
Basque Fatherland and Freedom (ETA),2024,0
Boko Haram,1777,300
Communist Party of India - Maoist (CPI-Maoist),1766,0
Corsican National Liberation Front (FLNC),639,0
Donetsk People's Republic,613,1
Farabundo Marti National Liberation Front (FMLN),3351,0
Houthi extremists (Ansar Allah),892,1
Irish Republican Army (IRA),2669,0
Islamic State of Iraq and the Levant (ISIL),3290,997
Kurdistan Workers' Party (PKK),2129,23
Liberation Tigers of Tamil Eelam (LTTE),1497,109
M-19 (Movement of April 19),555,0
Manuel Rodriguez Patriotic Front (FPMR),830,0
Maoists,1424,0
Muslim extremists,551,10
National Liberation Army of Colombia (ELN),1483,0
New People's Army (NPA),2414,0
Nicaraguan Democratic Force (FDN),895,0
Palestinians,1122,2
Revolutionary Armed Forces of Colombia (FARC),2479,2
Separatists,571,0
Shining Path (SL),4551,0
Sikh Extremists,714,0
Taliban,5936,639
Tehrik-i-Taliban Pakistan (TTP),1092,160
Tupac Amaru Revolutionary Movement (MRTA),557,0
