,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,gname,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,property,propextent,propextent_txt,propvalue,scite1,scite2,dbsource,INT_LOG,INT_ANY,related
170271,201612290023,2016,12,29,2016-12-29 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Saladin,Tarmiyah,33.664353999999996,44.373779,"12/29/2016: Security forces identified and killed three suicide bombers in an explosives-laden vehicle in Tarmiyah, Saladin, Iraq. No group claimed responsibility for the incident.",0,1,1,3,Bombing/Explosion,20,Unknown,,,Unknown,Unknown,95.0,Unknown,6,Explosives/Bombs/Dynamite,15.0,Vehicle,3.0,0.0,0,,,,"""Iraq: Security Roundup 1900 GMT 29 December 2016,"" Al-Iraqiyah Television, December 29, 2016.",,START Primary Collection,-9,-9,
170272,201612290024,2016,12,29,2016-12-29 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Al Anbar,Unknown,32.559762,41.919647,"12/29/2016: Security forces discovered and defused 40 explosive devices in Al Anbar, Iraq. No group claimed responsibility for the incident.",0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Unknown,95.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,0,,,,"""Iraq: Security Roundup 1900 GMT 29 December 2016,"" Al-Iraqiyah Television, December 29, 2016.",,START Primary Collection,-9,-9,
170273,201612290025,2016,12,29,2016-12-29 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Saladin,Shirqat district,35.485833,43.240556,"12/29/2016: Assailants kidnapped and executed a soldier in Shirqat district, Saladin, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",0,1,0,6,Hostage Taking (Kidnapping),4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Armed Forces,Soldier,95.0,Islamic State of Iraq and the Levant (ISIL),13,Unknown,,,1.0,0.0,0,,,,"""Iraq: Security Roundup 1900 GMT 29 December 2016,"" Al-Iraqiyah Television, December 29, 2016.",,START Primary Collection,0,1,
170274,201612290026,2016,12,29,2016-12-29 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Kirkuk,Hawijah district,35.324825,43.766921999999994,"12/29/2016: An explosive device detonated in Hawijah district, Kirkuk, Iraq. Two people were killed in the blast. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,95.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,2.0,0.0,0,,,,"""Iraq: Security Roundup 1900 GMT 29 December 2016,"" Al-Iraqiyah Television, December 29, 2016.",,START Primary Collection,-9,-9,
170275,201612290030,2016,12,29,,0,,137,Mozambique,11,Sub-Saharan Africa,Nampula,Namutequeliua,-15.126635,39.268716,"12/29/2016: Assailants opened fire on the vehicle of Jose Naitele in Namutequeliua, Nampula, Mozambique. Naitele, a Mozambique National Resistance Movement (MNR) member and former deputy of the Assembly of the Republic of Mozambique, was killed in the attack. No group claimed responsibility for the incident.",0,1,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Assembly of the Republic,Former Deputy: Jose Naitele,137.0,Unknown,5,Firearms,5.0,Unknown Gun Type,1.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,"""Renamo official assassinated in Nampula was a former MP, his car ...,"" Club of Mozambique, December 30, 2016.",,START Primary Collection,-9,-9,
170276,201612290032,2016,12,29,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,"12/29/2016: An explosives-laden vehicle detonated in Maalef area, Baghdad city, Baghdad governorate, Iraq. One person was killed and seven people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,95.0,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,15.0,Vehicle,1.0,7.0,-9,,,,"""UPDATED: Civilian killed, 10 wounded in south, east Baghdad blasts,"" Iraqi News, December 29, 2016.","""Terrorism: Roundup of A'maq News Agency Messages 29 December,"" JustPaste.it, December 29, 2016.",START Primary Collection,0,1,
170277,201612290033,2016,12,29,2016-12-29 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.31,43.216667,"12/29/2016: Security forces identified and destroyed explosives-laden vehicles targeting troops in Ash Shayma, Mosul, Nineveh, Iraq. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",0,0,1,3,Bombing/Explosion,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Army,9th Division Forces,95.0,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,15.0,Vehicle,,,0,,,,"""State PAO: Iraqi Media Summary 30 December 2016,"" Summary, December 30, 2016.","""Terrorism: Roundup of A'maq News Agency Messages 29 December,"" JustPaste.it, December 29, 2016.",START Primary Collection,0,1,
170278,201612290034,2016,12,29,2016-12-29 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.357146,43.187882,"12/29/2016: Security forces identified and destroyed explosives-laden vehicles targeting troops in Sihah, Mosul, Nineveh, Iraq. No group claimed responsibility for the incident.",0,0,1,3,Bombing/Explosion,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Army,9th Division Forces,95.0,Unknown,6,Explosives/Bombs/Dynamite,15.0,Vehicle,,,0,,,,"""State PAO: Iraqi Media Summary 30 December 2016,"" Summary, December 30, 2016.",,START Primary Collection,-9,-9,
170279,201612290035,2016,12,29,2016-12-29 00:00:00,1,,95,Iraq,10,Middle East & North Africa,Kirkuk,Riyadh,35.269940999999996,43.912673,"12/29/2016: Assailants kidnapped 23 civilians fleeing the area near Riyadh subdistrict, Kirkuk, Iraq. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",0,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,95.0,Islamic State of Iraq and the Levant (ISIL),13,Unknown,,,,,0,,,,"""State PAO: Iraqi Media Summary 30 December 2016,"" Summary, December 30, 2016.",,START Primary Collection,0,1,
170280,201612290038,2016,12,29,,0,,200,Syria,10,Middle East & North Africa,Aleppo,Sawran,36.565672,37.213589,"12/29/2016: An explosives-laden vehicle detonated near Sawran, Aleppo, Syria. At least six people were killed and dozens of others were injured in the blast. No group claimed responsibility for the attack.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,200.0,Unknown,6,Explosives/Bombs/Dynamite,15.0,Vehicle,6.0,24.0,1,3.0,Minor (likely < $1 million),-99.0,"""SYRIA: Deadly Car Bomb Attack Hits Rural Aleppo December 292:04,"" Northern Territory News, December 29, 2016.","""SYRIA: Rescue Crew Reports Three Pulled Alive From Rubble After Deadly Car Bomb Attack December 29,"" The Australian, December 29, 2016.",START Primary Collection,-9,-9,
