,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,gname,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,property,propextent,propextent_txt,propvalue,scite1,scite2,dbsource,INT_LOG,INT_ANY,related
0,197000000001,1970,7,2,,0,,58,Dominican Republic,2,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,0,1,0,1,Assassination,14,Private Citizens & Property,68.0,Named Civilian,,Julio Guzman,58.0,MANO-D,13,Unknown,,,1.0,0.0,0,,,,,,PGIS,0,0,
1,197000000002,1970,0,0,,0,,130,Mexico,1,North America,,Mexico city,19.432608,-99.133207,,0,1,0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Belgian Ambassador Daughter,"Nadine Chaval, daughter",21.0,23rd of September Communist League,13,Unknown,,,0.0,0.0,0,,,,,,PGIS,0,1,
2,197001000001,1970,1,0,,0,,160,Philippines,5,Southeast Asia,Tarlac,Unknown,15.478598000000002,120.599741,,0,1,0,1,Assassination,10,Journalists & Media,54.0,Radio Journalist/Staff/Facility,Voice of America,Employee,217.0,Unknown,13,Unknown,,,1.0,0.0,0,,,,,,PGIS,-9,1,
3,197001000002,1970,1,0,,0,,78,Greece,8,Western Europe,Attica,Athens,37.983773,23.728157,,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),46.0,Embassy/Consulate,,U.S. Embassy,217.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,1,,,,,,PGIS,-9,1,
4,197001000003,1970,1,0,,0,,101,Japan,4,East Asia,,Fukouka,33.580412,130.396361,,0,1,0,7,Facility/Infrastructure Attack,7,Government (Diplomatic),46.0,Embassy/Consulate,,U.S. Consulate,217.0,Unknown,8,Incendiary,,,,,1,,,,,,PGIS,-9,1,
5,197001010002,1970,1,1,,0,,217,United States,1,North America,Illinois,Cairo,37.005105,-89.17626899999999,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",0,1,0,2,Armed Assault,3,Police,22.0,"Police Building (headquarters, station, school)",Cairo Police Department,Cairo Police Headquarters,217.0,Black Nationalists,5,Firearms,5.0,Unknown Gun Type,0.0,0.0,1,3.0,Minor (likely < $1 million),,"""Police Chief Quits,"" Washington Post, January 2, 1970.","""Cairo Police Chief Quits; Decries Local 'Militants',"" Afro-American, January 10, 1970.",Hewitt Project,-9,-9,
6,197001020001,1970,1,2,,0,,218,Uruguay,3,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,0,0,0,1,Assassination,3,Police,25.0,Police Security Forces/Officers,Uruguayan Police,Juan Maria de Lucah/Chief of Directorate of info. and intell.,218.0,Tupamaros (Uruguay),5,Firearms,2.0,Automatic Weapon,0.0,0.0,0,,,,,,PGIS,0,0,
7,197001020002,1970,1,2,,0,,217,United States,1,North America,California,Oakland,37.805065,-122.27302399999999,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",0,1,0,3,Bombing/Explosion,21,Utilities,107.0,Electricity,Pacific Gas & Electric Company,Edes Substation,217.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,1,3.0,Minor (likely < $1 million),22500.0,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,
8,197001020003,1970,1,2,,0,,217,United States,1,North America,Wisconsin,Madison,43.076592,-89.412488,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",0,1,0,7,Facility/Infrastructure Attack,4,Military,28.0,Military Recruiting Station/Academy,R.O.T.C.,"R.O.T.C. offices at University of Wisconsin, Madison",217.0,New Year's Gang,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,0.0,0.0,1,3.0,Minor (likely < $1 million),60000.0,"Tom Bates, ""Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath,"" HarperCollinsPublishing, 1992.","David Newman, Sandra Sutherland, and Jon Stewart, ""The Madison Bomb Story: The Death the FBI Saw, Heard and Won't Talk About,"" Mother Jones, February-March, 1979.",Hewitt Project,0,0,
9,197001030001,1970,1,3,,0,,217,United States,1,North America,Wisconsin,Madison,43.07295,-89.38669399999999,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",0,1,0,7,Facility/Infrastructure Attack,2,Government (General),21.0,Government Building/Facility/Office,Selective Service,Selective Service Headquarters in Madison Wisconsin,217.0,New Year's Gang,8,Incendiary,20.0,Gasoline or Alcohol,0.0,0.0,1,3.0,Minor (likely < $1 million),,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Tom Bates, ""Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath,"" HarperCollinsPublishing, 1992.",Hewitt Project,0,0,
